2015,01,10,14,14,48,0708,PROCESS_LAUNCH,448,636,\??\C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},,,,,
2015,01,10,14,14,48,0708,PROCESS_MODLOAD,636,,\Windows\System32\dllhost.exe,,,,,,,
2015,01,10,14,14,48,0708,PROCESS_MODLOAD,448,,\Device\HarddiskVolume2\Windows\System32\dllhost.exe,,,,,,,
2015,01,10,14,14,48,0708,PROCESS_MODLOAD,448,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,14,48,0708,PROCESS_MODLOAD,448,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,14,48,0708,PROCESS_MODLOAD,448,,\Windows\System32\KernelBase.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\msvcrt.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\ole32.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\gdi32.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\lpk.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\usp10.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\rpcrt4.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\imm32.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\msctf.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\cryptbase.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\clbcatq.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\advapi32.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\sechost.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\oleaut32.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\cryptsp.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\rsaenh.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\RpcRtRemote.dll,,,,,,,
2015,01,10,14,14,48,0723,PROCESS_MODLOAD,448,,\Windows\System32\uxtheme.dll,,,,,,,
2015,01,10,14,14,48,0739,PROCESS_MODLOAD,448,,\Windows\System32\thumbcache.dll,,,,,,,
2015,01,10,14,14,48,0739,PROCESS_MODLOAD,448,,\Windows\System32\shell32.dll,,,,,,,
2015,01,10,14,14,48,0739,PROCESS_MODLOAD,448,,\Windows\System32\shlwapi.dll,,,,,,,
2015,01,10,14,14,48,0739,PROCESS_MODLOAD,448,,\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9\comctl32.dll,,,,,,,
2015,01,10,14,14,48,0739,PROCESS_MODLOAD,448,,\Windows\System32\psapi.dll,,,,,,,
2015,01,10,14,14,48,0739,PROCESS_MODLOAD,448,,\Windows\System32\propsys.dll,,,,,,,
2015,01,10,14,14,49,0612,PROCESS_QUIT,1448,,,,,,,,
2015,01,10,14,14,50,0018,PROCESS_MODLOAD,1844,,\PROGRA~1\COMMON~1\MICROS~1\IME14\IMEJP\IMJPTIP.DLL,,,,,,,
2015,01,10,14,14,53,0746,PROCESS_QUIT,448,,,,,,,,
2015,01,10,14,14,53,0918,NETWORKV4,3284,,,,192.168.21.26,60850,80.237.152.35,80,6
2015,01,10,14,14,53,0918,NETWORKV4,3284,,,,192.168.21.26,60849,80.237.152.35,80,6
2015,01,10,14,14,57,0412,PROCESS_MODLOAD,1844,,\PROGRA~1\COMMON~1\MICROS~1\IME14\IMEJP\IMJPTIP.DLL,,,,,,,
2015,01,10,14,15,04,0482,PROCESS_MODLOAD,1844,,\PROGRA~1\COMMON~1\MICROS~1\IME14\IMEJP\IMJPTIP.DLL,,,,,,,
2015,01,10,14,15,05,0902,PROCESS_MODLOAD,1844,,\PROGRA~1\COMMON~1\MICROS~1\IME14\IMEJP\IMJPTIP.DLL,,,,,,,
2015,01,10,14,15,07,0165,NETWORKV4,4,,,,192.168.12.56,137,192.168.12.255,137,17
2015,01,10,14,15,09,0193,PROCESS_MODLOAD,1844,,\ProgramData\Microsoft\IME14\IMEJP\DICTS\IMJPGN.GRM,,,,,,,
2015,01,10,14,15,09,0193,PROCESS_MODLOAD,1844,,\ProgramData\Microsoft\IME14\IMEJP\DICTS\IMJPGN.GRM,,,,,,,
2015,01,10,14,15,09,0459,NETWORKV4,4,,,,192.168.21.26,137,192.168.21.255,137,17
2015,01,10,14,15,09,0786,PROCESS_MODLOAD,1844,,\PROGRA~1\COMMON~1\MICROS~1\IME14\IMEJP\IMJPTIP.DLL,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_LAUNCH,628,1844,\??\C:\Users\Yui\Downloads\ShinoBOT.exe,"C:\Users\Yui\Downloads\ShinoBOT.exe" ,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\Device\HarddiskVolume2\Users\Yui\Downloads\ShinoBOT.exe,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\SystemRoot\SysWOW64\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\Windows\System32\wow64.dll,,,,,,,
2015,01,10,14,15,10,0551,PROCESS_MODLOAD,628,,\Windows\System32\wow64win.dll,,,,,,,
