DATE,TYPE,PID,PARENT,PATH,CMDLINE,SRCIP,SRCPORT,DSTIP,DSTPORT,NETTYPE
02\12\2014-02:42:09:396, PROCESS_LAUNCH,1832,1848,\??\C:\Users\TESTUSER\Desktop\SHARE\invoice_928649039284232_9482934d88.pdf.exe,C:\Users\TESTUSER\Desktop\SHARE\invoice_928649039284232_9482934d88.pdf.exe ,,,,,
02\12\2014-02:42:09:403, PROCESS_MODLOAD,1832,,\Device\HarddiskVolume2\Users\TESTUSER\Desktop\SHARE\invoice_928649039284232_9482934d88.pdf.exe,,,,,,
02\12\2014-02:42:09:403, PROCESS_MODLOAD,1832,,\SystemRoot\System32\ntdll.dll,,,,,,
02\12\2014-02:42:09:403, PROCESS_MODLOAD,1832,,\SystemRoot\SysWOW64\ntdll.dll,,,,,,
02\12\2014-02:42:09:455, PROCESS_MODLOAD,1832,,\Windows\System32\wow64.dll,,,,,,
02\12\2014-02:42:09:455, PROCESS_MODLOAD,1832,,\Windows\System32\wow64win.dll,,,,,,
02\12\2014-02:42:09:455, PROCESS_MODLOAD,1832,,\Windows\System32\wow64cpu.dll,,,,,,
02\12\2014-02:42:09:455, PROCESS_MODLOAD,1832,,\Windows\System32\kernel32.dll,,,,,,
02\12\2014-02:42:09:455, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\kernel32.dll,,,,,,
02\12\2014-02:42:09:455, PROCESS_MODLOAD,1832,,\Windows\System32\kernel32.dll,,,,,,
02\12\2014-02:42:09:455, PROCESS_MODLOAD,1832,,\Windows\System32\user32.dll,,,,,,
02\12\2014-02:42:09:456, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\kernel32.dll,,,,,,
02\12\2014-02:42:09:456, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\KernelBase.dll,,,,,,
02\12\2014-02:42:09:457, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\user32.dll,,,,,,
02\12\2014-02:42:09:457, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\gdi32.dll,,,,,,
02\12\2014-02:42:09:457, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\lpk.dll,,,,,,
02\12\2014-02:42:09:457, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\usp10.dll,,,,,,
02\12\2014-02:42:09:458, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\msvcrt.dll,,,,,,
02\12\2014-02:42:09:458, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\advapi32.dll,,,,,,
02\12\2014-02:42:09:458, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\sechost.dll,,,,,,
02\12\2014-02:42:09:458, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\rpcrt4.dll,,,,,,
02\12\2014-02:42:09:459, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\sspicli.dll,,,,,,
02\12\2014-02:42:09:459, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\cryptbase.dll,,,,,,
02\12\2014-02:42:09:459, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\shell32.dll,,,,,,
02\12\2014-02:42:09:459, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\shlwapi.dll,,,,,,
02\12\2014-02:42:09:460, PROCESS_MODLOAD,1832,,\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18201_none_ec80f00e8593ece5\comctl32.dll,,,,,,
02\12\2014-02:42:09:460, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\ole32.dll,,,,,,
02\12\2014-02:42:09:461, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\version.dll,,,,,,
02\12\2014-02:42:09:462, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\imm32.dll,,,,,,
02\12\2014-02:42:09:462, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\msctf.dll,,,,,,
02\12\2014-02:42:09:464, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\uxtheme.dll,,,,,,
02\12\2014-02:42:09:467, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\shfolder.dll,,,,,,
02\12\2014-02:42:09:469, PROCESS_MODLOAD,1832,,\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll,,,,,,
02\12\2014-02:42:09:470, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\oleaut32.dll,,,,,,
02\12\2014-02:42:09:471, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\setupapi.dll,,,,,,
02\12\2014-02:42:09:471, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\cfgmgr32.dll,,,,,,
02\12\2014-02:42:09:472, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\devobj.dll,,,,,,
02\12\2014-02:42:09:473, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\clbcatq.dll,,,,,,
02\12\2014-02:42:09:476, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\propsys.dll,,,,,,
02\12\2014-02:42:09:477, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\ntmarta.dll,,,,,,
02\12\2014-02:42:09:477, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\Wldap32.dll,,,,,,
02\12\2014-02:42:09:507, PROCESS_LAUNCH,2068,1832,\??\C:\Users\TESTUSER\AppData\Local\Temp\zdttuqbg.exe,C:\Users\TESTUSER\AppData\Local\Temp\zdttuqbg.exe,,,,,
02\12\2014-02:42:09:508, PROCESS_MODLOAD,1832,,\Windows\SysWOW64\apphelp.dll,,,,,,
02\12\2014-02:42:09:508, PROCESS_MODLOAD,1832,,\Users\TESTUSER\AppData\Local\Temp\zdttuqbg.exe,,,,,,
02\12\2014-02:42:09:521, PROCESS_MODLOAD,1832,,\Users\TESTUSER\AppData\Local\Temp\zdttuqbg.exe,,,,,,
